iter	RMSE
588	2327677.643
589	2327555.712
590	2327492.897
591	2327431.801
592	2327427.736
593	2327349.231
594	2327272.243
595	2327222.552
596	2327157.742
597	2327154.743
598	2327051.542
599	2327036.459
600	2327013.732
601	2326967.479
602	2326920.503
603	2326902.56
604	2326899.907
605	2326886.564
606	2326830.345
607	2326791.477
608	2326731.014
609	2326675.664
610	2326636.947
611	2326579.007
612	2326534.254
613	2326466.908
614	2326458.971
615	2326409.35
616	2326361.82
617	2326326.52
618	2326307.5
619	2326260.631
620	2326250.354
621	2326235.038
622	2326130.364
623	2326078.442
624	2326028.834
625	2326026.125
626	2325989.526
627	2325966.223
628	2325958.331
629	2325913.223
630	2325872.601
631	2325870.598
632	2325864.205
633	2325845.23
634	2325822.022
635	2325816.064
636	2325721.328
637	2325659.062
638	2325596.135
639	2325591.584
640	2325588.374
641	2325540.449
642	2325472.474
643	2325467.17
644	2325425.691
645	2325383.33
646	2325372.332
647	2325331.647
648	2325309.392
649	2325263.627
650	2325239.119
651	2325185.918
652	2325097.41
653	2325063.384
654	2325005.19
655	2324975.857
656	2324927.555
657	2324847.419
658	2324828.83
659	2324780.548
660	2324749.864
661	2324696.009
662	2324650.254
663	2324646.002
664	2324625.632
665	2324608.316
666	2324603.936
667	2324552.861
668	2324520.354
669	2324487.844
670	2324434.45
671	2324395.25
672	2324332.289
673	2324274.692
674	2324270.211
675	2324252.308
676	2324221.692
677	2324180.464
678	2324128.205
679	2324064.042
680	2324014.26
681	2323999.882
682	2323980.615
683	2323950.906
684	2323928.214
685	2323909.393
686	2323906.255
687	2323901.779
688	2323880.397
689	2323865.912
690	2323842.881
691	2323817.719
692	2323796.744
693	2323762.107
694	2323708.558
695	2323660.526
696	2323602.819
697	2323547.053
698	2323514.421
699	2323460.715
700	2323420.892
701	2323407.002
702	2323352.941
703	2323315.048
704	2323304.813
705	2323246.61
706	2323234.446
707	2323200.141
708	2323158.713
709	2323145.971
710	2323109.192
711	2323069.769
712	2323048.884
713	2323035.532
714	2323030.864
715	2322973.816
716	2322930.947
717	2322920.133
718	2322874.717
719	2322871.143
720	2322820.065
721	2322784.171
722	2322735.263
723	2322688.937
724	2322666.918
725	2322626.334
726	2322587.541
727	2322567.456
728	2322564.365
729	2322559.15
730	2322557.13
731	2322513.619
732	2322467.523
733	2322431.044
734	2322416.152
735	2322364.63
736	2322348.457
737	2322304.363
738	2322302.415
739	2322274.505
740	2322262.778
741	2322251.925
742	2322249.499
743	2322211.329
744	2322189.681
745	2322180.875
746	2322142.334
747	2322101.317
748	2322099.452
749	2322055.038
750	2322021.333
751	2322006.22
752	2322001.876
753	2321991.316
754	2321989.897
755	2321970.212
756	2321891.384
757	2321878.095
758	2321864.893
759	2321825.808
760	2321804.272
761	2321770.721
762	2321766.522
763	2321764.167
764	2321757.358
765	2321700.592
766	2321663.483
767	2321656.442
768	2321602.629
769	2321576.525
770	2321559.286
771	2321496.86
772	2321479.684
773	2321436.214
774	2321418.351
775	2321402.107
776	2321375.759
777	2321341.604
778	2321338.058
779	2321296.374
780	2321285.748
781	2321250.109
782	2321247.362
783	2321225.455
784	2321220.054
785	2321205.525
786	2321204.469
787	2321184.865
788	2321167.425
789	2321166.583
790	2321144.909
791	2321101.782
792	2321097.36
793	2321081.639
794	2321068.059
795	2321038.384
796	2321004.578
797	2320992.108
798	2320962.415
799	2320959.199
800	2320924.393
801	2320898.056
802	2320890.368
803	2320886.402
804	2320847.047
805	2320820.564
806	2320784.21
807	2320766.032
808	2320759.396
809	2320756.02
810	2320754.136
